work_id,title,category
0,Hayate the Combat Butler! Cuties,anime
1,Caffe Latte Rhapsody,manga
2,Dragon Ball,anime
3,Accel World,manga
4,Soukyuu no Fafner: Right of Left,anime
5,Natsume's Book of Friends Four,anime
6,Kiddy Grade: Ignition,anime
7,Zatch Bell!,anime
8,Zakuro Yashiki,anime
9,Mobile Suit Gundam Wing,anime
10,Endless Orbit SSX,anime
11,Silent Love,manga
12,Queen Millennia,anime
13,Agukaru Agriculture Angel Baraki: Play with Ibaraki Hen,anime
14,Maou lover VS Le prince,manga
15,Akuma Tou no Prince: Mitsume ga Tooru,anime
16,Mahou Shoujo Lyrical Nanoha: Lyrical Toy Box,anime
17,Orphen,anime
18,Buddy Complex,anime
19,C [SI:],manga
20,Yu-Gi-Oh!,anime
21,Re: Cutie Honey,anime
22,Triage X,anime
23,Kiba,anime
24,Card Captor Sakura - Manga Player,manga
25,Hen Zemi (TV),anime
26,Kimi ni Todoke 2nd Season Specials,anime
27,Btooom!,anime
28,Daily Lives of High School Boys Specials,anime
29,"Diabolik Lovers More,Blood",anime
30,Armitage III Polymatrix,anime
31,Lodoss - La légende du chevalier héroïque - Coffret,manga
32,Contes d'Adolescence,manga
33,Mobile Suit Gundam ZZ,anime
34,Slayers Knight of Aqua Lord,manga
35,Discipline: The Hentai Academy,anime
36,Whispers,manga
37,Pokemon: Pokemon Ranger and the Temple of the Sea,anime
38,Evergreen,manga
39,JoJo's Bizarre Adventure: Phantom Blood,anime
40,Dragon Ball Movie 2: Sleeping Princess in Devil's Castle,anime
41,Why is the Sea Water Salty?,anime
42,Magical Janken Pon,manga
43,Taimanin Asagi: Bonus Video,anime
44,Ikki Tousen,anime
45,Grappler Baki (TV),anime
46,Akumetsu,manga
47,Lupin III Episode 0: The First Contact,anime
48,Ao no Exorcist Movie,anime
49,Ginga Tetsudou 999:  Shounen no Tabidachi to Wakare,anime
50,Ryo,anime
51,One Piece: Karakurijou no Mecha Kyohei,anime
52,Pokemon Advance,anime
53,Devil Devil,manga
54,Housekeeper of Business Suit,manga
55,Yokuwakaru Gendaimahou 00,anime
56,Kakushi Dere,anime
57,Fullmetal Alchemist: Premium OVA Collection,anime
58,Gunnm Last Order,manga
59,JoJo's Bizarre Adventure (2012),anime
60,Netrun-mon the Movie,anime
61,Bakugan: New Vestroia,anime
62,Myriad Colors Phantom World,anime
63,Gunbuster,anime
64,Kaiji: Ultimate Survivor,anime
65,Hori-san to Miyamura-kun,anime
66,Fullmetal Alchemist: The Sacred Star of Milos,anime
67,Owarimonogatari,anime
68,Ona x2,anime
69,Oshiete Re: Maid,anime
70,Cantaloupe Collector,anime
71,Taiyou no Mokushiroku: A Spirit of the Sun,anime
72,The Cougar Trap,anime
73,The moon sword,manga
74,MUSHI-SHI -Next Passage-,anime
75,Sex infinity,manga
76,Over Drive,anime
77,Uragiri,manga
78,Owari no Seraph: Owaranai Seraph,anime
79,Neon Genesis Evangelion,anime
80,Nurse Witch Komugi-chan Magikarte,anime
81,Card Captor Sakura,anime
82,Blood Lad OVA,anime
83,Ham Ham Grand Prix - The Miracle of Aurora Valley ~Ribon-chan's Close Call~,anime
84,Shouwa Genroku Rakugo Shinjuu,anime
85,"Glare at you, Because i love you !",manga
86,Ikoku Irokoi Romantan,anime
87,Kachinco - Sentimental Comedy,manga
88,The Ocean Waves,anime
89,Power play,manga
90,Strike the Blood OVA,anime
91,Black Lagoon: Roberta's Blood Trail,anime
92,Hungry Heart - Coffret,manga
93,Hanada Shounen-shi,anime
94,Oreimo 2,anime
95,Tooi Sekai,anime
96,Megane na Kanojo,anime
97,Negima!? Magister Negi Magi,anime
98,Fist of the North Star 2,anime
99,Kuroko's Basketball OVA,anime
100,Gunslinger girl - Coffret,manga
101,Love Live! School Idol Project 2nd Season,anime
102,In love with you,manga
103,Terra Formars,manga
104,Cowboy Bebop,anime
105,Rampo Kitan: Game of Laplace,anime
106,My Teen Romantic Comedy SNAFU TOO!,anime
107,House of Five Leaves,anime
108,Hibike! Euphonium: Kakedasu Monaka,anime
109,Bible Black Origins,anime
110,Shakugan no Shana Specials,anime
111,Garçon du train (le) - Moi aussi je pars à l'aventure - Densha Otoko,manga
112,Princess Jellyfish Specials,anime
113,OniAi,anime
114,Monster Extra,anime
115,Slayers Movie 2,anime
116,Computer Kakumei: Saikyou x Saisoku no Zunou Tanjou,anime
117,Lovely Love Lie,manga
118,Kyokugen Dasshutsu Adv: Zennin Shibou Desu Prologue,anime
119,Meganebu!,anime
120,One Pound Gospel,anime
121,Puella Magi Madoka Magica - The different story,manga
122,Julie the Wild Rose,anime
123,Moonlight Act,manga
124,A.D. Police: To Protect and Serve,anime
125,Blade & Soul Specials,anime
126,Berceau des esprits (le),manga
127,Freezing,anime
128,Karakuri Zoushi Ayatsuri Sakon,anime
129,La storia della Arcana Famiglia,anime
130,Love Holic,manga
131,Boin Lecture,anime
132,Psychic School Wars,anime
133,Candy Candy (Movie),anime
134,Familiar of Zero F,anime
135,Toaru Majutsu no Index Specials,anime
136,Garakowa -Restore the World-,anime
137,Fille de la plage (la),manga
138,Contes de Terremer,anime
139,Furueru Kuchibiru,anime
140,Baka and Test : Summon the Beasts,anime
141,Biohazard: Degeneration,anime
142,Black Lagoon,anime
143,Kinpatsua,manga
144,Kindan no Byoutou The Animation,anime
145,Blue Seed Beyond,anime
146,Hallucinations - Junji Ito collection N°7,manga
147,Nui ! - Coffret Intégral,manga
148,Mashima-en,manga
149,Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen,anime
150,"Wake Up, Girl Zoo!",anime
151,Beyblade the Movie: Decisive Battle! Takao VS Daichi,anime
152,Battle Doll Angelic Layer,anime
153,Steamboy,anime
154,Girls Beyond the Wasteland,anime
155,Toile de dragon,manga
156,Free!: Eternal Summer Special,anime
157,Emerging,manga
158,Judge,anime
159,Dr. Slump & Arale-chan HoYoYo! The Treasure of Nanaba Castle,anime
160,Sanctuary,manga
161,THE IDOLM@STER MOVIE: BEYOND THE BRILLIANT FUTURE!,anime
162,Giant Robo Gaiden Ginrei,anime
163,Hakkenden: Eight Dogs of the East,anime
164,Run Melos!,anime
165,More! Ojamajo Doremi: Secret of the Frog Stone,anime
166,TWO-MIX: White Reflection,anime
167,Steins;Gate: Soumei Eichi no Cognitive Computing,anime
168,Sailor Victory,anime
169,Romantica Clock,anime
170,Dream Team,manga
171,Seven days,manga
172,Vampire Princess Miyu,anime
173,Hot Gimmick,manga
174,Broken Blade 5,anime
175,Code Geass: Lelouch of the Rebellion Picture Drama,anime
176,"Clannad After Story: Another World, Kyou Chapter",anime
177,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,anime
178,O-Parts Hunter,manga
179,Gokusen,manga
180,Prince (le),manga
181,Ad Lib Anime Kenkyuujo,anime
182,Tsuki no Sango,anime
183,Barakamon,anime
184,Rosario + Vampire,anime
185,Angel Dick,manga
186,H2,anime
187,Armitage III: Poly-Matrix,anime
188,Squid Girl 2,anime
189,FLCL,anime
190,Fils de la Terre (les),manga
191,Evangelion Iron Maiden 2nd,manga
192,King's Game Origin,manga
193,Tengu,manga
194,Akihabara Dennou Gumi: 2011 Nen no Natsuyasumi,anime
195,Shiki Specials,anime
196,Space Symphonic Poem Maetel ~Galaxy Express 999 Side Story~,anime
197,Cafe Junkie,anime
198,Saint Seiya: The Hades Chapter - Elysion,anime
199,Vexille: 2077 Japan National Isolation,anime
200,Summer Wars - King Kazma & Queen Oz,manga
201,Mezzo Forte,anime
202,Aneki no Kounai Kaikinbi,anime
203,Love Live! Sunshine!!,anime
204,Angel's Egg,anime
205,Battle of the Planets,anime
206,Ashiaraiyashiki no Juunin-tachi.,anime
207,AR∀GO: London Shikei Tokushu Hanzai Sousakan,manga
208,Tales of Phantasia,anime
209,Grisaia no Rakuen,anime
210,Noragami OVA,anime
211,Muramasa,anime
212,Mobile Suit Gundam Seed Destiny,anime
213,Ghost in the shell,manga
214,Space Brothers,anime
215,Evangelion: 1.0 You Are (Not) Alone,anime
216,Ichigo 100% Special 2,anime
217,Oseam,anime
218,Kachou no Koi,anime
