user_id,work_id,rating
50,4041,0
508,1713,0
1780,7053,1
658,8853,0
1003,9401,0
1681,4325,0
293,7376,1
1589,352,0
1214,9124,1
802,4987,0
1897,826,0
284,9180,0
1338,7811,0
279,8699,0
1862,8209,0
1560,9401,1
249,2607,1
1550,6161,0
425,8134,0
535,5729,0
1882,1910,1
226,2389,0
1587,142,1
1306,898,0
1925,7765,1
712,5820,0
387,2660,1
316,8284,0
425,7220,1
1020,5374,1
436,8350,0
1027,5093,0
1679,8745,0
1799,8181,0
1184,9424,0
671,6378,1
780,258,1
1211,8809,1
1584,9182,1
1780,3172,0
1554,6845,1
1518,81,0
328,7231,1
1663,443,0
1658,370,0
552,8087,0
1321,4679,0
459,9210,0
542,1884,1
1867,1874,1
1908,7764,0
644,3027,0
1652,8789,1
1424,8860,0
400,2520,0
1172,3284,0
94,8469,0
1383,7479,0
1965,6842,0
1979,5775,0
985,8719,0
1228,8356,0
283,6743,0
141,8317,0
1626,5795,0
1799,2899,1
1550,8794,0
1868,8091,1
1979,6699,1
1562,8263,1
1940,9502,1
1671,7005,1
256,2127,1
828,137,0
1862,7715,0
814,1027,0
652,370,0
1374,7195,0
983,1399,1
1824,4531,0
1822,9648,0
1290,103,1
385,7921,1
884,1889,0
1267,8174,0
1747,1105,0
1096,248,0
316,3138,0
382,7858,0
766,2365,0
1374,3482,0
1940,4403,1
1743,8013,1
221,7067,0
436,7312,0
446,6228,0
432,2743,1
994,5385,1
364,2920,0
316,1352,0
284,4758,1
439,4283,0
959,1199,0
1979,8943,0
828,79,0
923,9661,1
474,4041,1
712,3657,1
95,4988,1
1265,6737,0
972,5381,1
316,4207,1
316,9628,0
279,2739,1
1866,3398,0
991,4041,0
914,5260,0
463,8821,1
1206,9868,0
938,3836,0
1544,2127,0
888,7891,0
1554,8636,1
446,4450,0
1469,5374,0
508,8390,0
284,3886,0
1072,4708,1
1925,6845,1
390,2803,0
270,1821,0
1446,1002,0
1759,4213,0
769,2174,0
607,5693,1
1223,8087,0
973,1340,0
1005,6842,1
508,2834,0
601,1692,1
226,5621,0
1567,2607,1
1059,140,0
1383,5142,0
14,6486,1
607,8621,0
864,7344,1
175,6267,0
1658,1176,1
1444,5870,0
1688,7709,1
1511,4965,1
1908,7042,1
1617,7344,0
71,8263,1
655,1265,0
1604,99,0
1700,5890,0
1604,4525,0
788,811,1
1966,8833,1
1897,3993,0
1868,7232,1
51,7376,1
1836,3261,1
1908,9424,0
1616,2739,1
508,9317,0
1979,3971,0
985,5352,0
505,9536,0
1224,372,1
1134,8993,1
474,5943,1
309,2220,1
1503,8738,1
1704,7921,1
1189,2739,0
36,192,0
95,8499,0
1635,5881,0
240,9424,1
626,7602,1
1272,9690,0
359,5904,0
1873,2956,0
363,9110,1
175,7533,0
316,931,1
507,6782,1
1658,643,0
1752,5698,1
823,189,0
146,8996,1
1623,1199,1
658,8753,0
185,7173,0
1948,3784,1
415,8499,0
1446,8242,0
175,1070,0
401,7197,1
802,2883,0
1799,6949,1
1644,3451,1
39,6927,1
145,2124,0
1040,5381,1
658,8797,0
1467,4283,1
1027,3665,0
1399,5116,1
1583,6203,1
746,3441,0
60,5188,1
1658,4357,0
1979,7220,0
622,8033,1
1042,8021,0
425,2239,0
1940,1106,0
270,9053,1
695,3801,0
1617,8576,0
1297,2803,0
1871,3081,0
1399,8817,1
946,7710,0
1745,94,1
802,9525,0
226,4145,0
988,27,0
1009,8993,0
374,7782,1
1697,5604,1
1673,2127,0
1940,2416,0
342,6694,0
671,4362,0
1565,4561,0
386,1346,0
1565,5246,1
436,299,0
1399,352,1
1446,1761,0
1525,5392,0
1214,7879,0
838,6648,0
1944,1620,0
1209,5188,0
1929,3089,1
316,381,0
1683,1430,1
1001,9525,0
1283,4932,0
1649,3637,0
1370,3327,1
1517,1877,0
719,6421,1
1020,298,0
658,8996,0
383,1622,1
1745,9480,1
1160,8060,0
1940,6353,0
130,8592,0
1773,3744,0
390,7932,0
902,4525,1
888,3063,0
902,6985,0
1042,4695,0
759,8603,0
1518,8375,0
1747,8375,0
1908,1457,1
571,5142,0
425,9023,0
335,8934,0
1224,4902,1
179,6110,0
1897,5698,0
1550,1086,0
969,4213,1
607,8390,0
1075,7552,0
459,1425,1
983,5339,1
39,3027,0
346,3295,0
1114,1588,1
1799,8432,0
1592,4496,1
1780,4655,0
329,1694,1
4,9692,0
1615,4229,0
385,7005,0
774,3063,0
1511,6082,1
1944,4819,1
183,6916,0
1383,832,0
390,7770,0
888,8198,0
908,4260,0
769,6311,0
468,7940,1
1638,5829,1
23,6465,1
1926,4213,0
662,3233,1
530,6370,0
387,8699,1
1071,6348,0
225,2858,0
1679,7169,0
1303,8124,1
658,8828,0
113,898,0
530,4566,1
1673,9347,0
94,127,0
1390,3449,1
616,7180,0
1108,7847,1
1550,2843,1
441,5698,1
1106,3685,1
676,4948,1
1321,4496,0
536,7312,1
1499,526,1
1672,361,0
1638,138,1
141,6304,1
569,8387,0
551,9490,1
342,215,0
1325,9637,1
141,5841,0
225,3780,0
1806,6759,1
539,2937,0
316,333,0
390,835,0
487,1836,1
364,9756,0
221,8644,0
419,8359,1
1311,6950,1
789,5341,0
1260,8789,0
1907,8128,1
1383,6314,1
24,352,0
591,5295,1
969,2522,0
1658,8173,0
1352,4004,0
1671,526,0
794,5392,0
617,3841,1
1882,3637,1
1696,4390,1
779,4609,0
1001,2124,0
188,2220,1
805,6456,0
920,2590,1
316,7043,1
828,1718,1
283,6456,0
1467,2743,0
838,598,0
856,2569,1
270,8738,1
1260,8765,0
316,4304,0
1507,5511,0
130,1875,0
794,526,0
1681,7448,0
1446,1219,0
385,5596,0
1799,2739,1
838,7843,0
1518,701,0
1467,3522,0
339,176,0
1075,137,0
226,9276,0
1780,5617,0
1966,7602,1
1198,3397,1
1254,3637,1
1703,6877,1
1545,8330,1
1926,242,0
1198,7344,1
1108,927,1
658,3327,0
144,6584,0
1970,5698,1
474,2516,1
508,4822,0
1780,3518,0
260,6425,1
1793,1340,0
270,906,0
40,5463,1
1857,215,0
1862,235,0
1890,8094,1
1160,1718,0
728,4039,0
1486,5903,1
788,28,0
390,9785,0
658,1563,0
1184,9032,1
1887,104,1
1747,6921,1
1297,8135,0
214,5795,0
856,6587,1
966,6325,1
1653,811,1
622,1319,1
329,2615,0
316,4348,1
1747,1986,1
1616,740,1
1620,1199,1
1982,4545,0
456,6391,1
612,6177,0
1408,3150,0
828,1199,0
1947,2569,1
183,4845,1
1272,2682,1
1399,1818,1
1780,5868,0
884,8475,0
1981,7536,1
523,5536,0
680,6521,1
743,9367,0
946,6877,1
1679,8794,1
920,8188,1
1363,6699,1
175,6586,0
270,7901,1
802,7843,0
961,256,1
513,5628,0
555,6699,1
226,9621,0
1868,629,1
802,6670,0
1475,1718,0
407,5529,0
1798,91,0
1531,3173,1
1049,79,1
596,5870,0
802,9592,0
528,1546,0
40,5295,0
1043,8699,0
385,2945,1
1780,5338,0
1367,253,1
1108,5446,1
1592,3261,0
1224,1268,1
743,9493,0
658,2585,0
1321,5943,0
883,7883,0
436,6505,0
270,6991,0
1378,1146,0
490,991,1
938,614,0
1786,5434,1
715,7723,1
1539,3562,0
586,9546,0
977,7283,0
845,2607,1
1635,6548,1
1543,7677,0
528,7698,0
39,594,0
1408,7723,1
1681,9637,0
1393,8432,0
1745,2734,1
364,4180,0
1778,8499,0
1005,1086,1
1848,3791,0
551,8699,1
175,8765,0
1594,2127,1
1550,2179,1
1543,8188,0
1446,1270,1
1966,183,0
346,2951,1
1265,8298,1
425,6565,1
141,5917,0
324,5904,1
1071,1030,1
1518,9709,0
225,5829,1
1108,8317,0
1374,9515,0
1656,8359,1
39,5275,0
633,3637,0
436,6773,0
1550,2800,1
542,2772,0
316,8596,0
328,6391,0
1004,8821,0
1663,4521,0
1059,6635,0
1198,6867,0
1780,6595,0
805,4259,0
1743,8745,1
1097,710,1
1907,7002,1
1196,140,1
130,2064,1
1777,8903,0
985,5562,1
802,8386,0
972,7843,1
385,8603,0
146,4503,0
1383,1003,0
1836,2023,1
1322,8079,0
1681,7409,0
459,7550,0
1588,4283,0
175,6735,1
27,1694,1
537,8373,0
1224,2565,0
1562,8856,1
94,4121,0
141,2879,0
1652,9661,1
1561,9815,0
1980,8245,0
1887,5142,1
658,4920,0
899,6834,0
1890,1004,1
130,5554,0
316,8555,0
1663,9374,1
1587,1396,1
1543,2086,1
985,7382,0
1518,6642,0
1718,1968,0
508,4494,0
1048,8366,1
888,5802,0
914,3448,0
1544,242,0
1213,8415,0
1962,7752,1
764,316,1
625,153,1
1583,9367,1
401,250,1
580,9493,1
1562,6548,0
985,8981,0
1675,7312,0
888,3496,0
539,8471,0
1550,618,0
1399,2469,1
146,6174,0
936,7879,0
130,2942,0
525,4695,0
1507,9671,0
749,4644,1
805,4021,0
337,554,1
582,1766,1
530,3213,1
802,5463,0
1278,846,1
425,1219,1
888,3759,0
658,1117,0
459,4097,0
1152,3371,0
1613,8738,0
1944,1388,0
988,8013,0
933,7305,1
1673,2253,0
488,5824,1
1120,7533,0
385,7445,1
40,5795,0
1446,9825,0
1562,584,0
383,2558,1
21,1986,0
823,5312,0
1518,3657,1
676,9080,1
1672,7956,1
1655,6172,0
505,3327,1
56,9424,1
264,5903,0
544,9367,1
23,7956,1
773,2569,1
1224,6544,1
1204,104,0
1672,9491,1
508,6950,1
316,3733,0
1908,7126,0
131,3825,0
985,3577,0
1485,9525,0
1778,386,1
1399,8184,1
1424,8156,0
1743,2159,1
385,153,1
39,4464,1
1233,1612,0
773,7135,0
690,5866,0
94,5556,0
1550,320,0
1408,188,0
737,3327,1
316,1112,0
1224,5419,1
793,846,0
1217,7173,1
1292,2253,0
1908,7782,0
1747,412,0
407,2656,0
175,2726,0
805,2920,0
1233,443,1
23,6801,1
1966,5840,1
927,1053,1
105,1117,0
822,183,1
316,2314,0
1592,6081,1
1472,4508,1
1707,9513,1
1589,3042,0
1623,2590,0
243,3841,0
175,3576,0
316,193,0
834,1729,1
1124,4984,1
393,4641,0
1040,1455,1
1882,5240,1
1741,1766,0
539,7192,0
625,9401,0
1522,6456,0
235,3448,0
508,868,0
226,1569,0
823,8794,0
390,1090,0
1624,6042,0
802,3974,0
802,354,0
385,3410,0
1446,7858,0
983,7445,1
779,6743,1
1097,5460,0
1947,2086,1
1272,370,0
573,3657,0
1444,407,0
1198,9053,0
790,142,0
969,3749,1
802,6225,0
418,6497,0
769,640,1
1393,7721,0
532,2220,0
225,2086,0
1010,7360,1
1940,277,0
346,2015,0
1799,3317,0
749,4465,0
518,5698,0
390,7455,0
771,8809,0
1206,8962,0
1469,8079,1
749,1417,0
814,7511,0
1077,1268,0
1550,5457,0
865,640,0
380,127,0
94,4679,0
1743,1444,1
316,1079,1
1862,543,0
1904,796,0
140,7479,1
1531,4933,1
728,7212,0
141,6307,0
1866,3448,0
658,3089,0
1835,7104,0
583,4065,0
51,3666,0
671,7808,1
528,927,0
1832,6950,0
1201,3259,1
802,9860,0
655,8322,0
1427,811,1
1739,7767,0
1613,5952,1
1198,9253,0
1433,6694,0
1882,2280,1
799,1884,1
1393,4690,0
1608,2357,1
1188,2015,0
131,2177,0
39,7523,0
95,4283,0
130,8247,0
425,140,0
528,5530,0
310,8415,0
684,5700,1
501,6867,0
1624,5260,0
799,6348,0
1224,9288,1
919,8499,0
1383,1499,0
1822,4021,0
316,7180,0
130,6853,1
1682,5999,0
802,4518,0
1940,91,0
1971,6795,1
1075,3154,0
175,7811,0
564,8013,1
459,4309,1
802,5107,0
1652,6904,0
1018,6465,0
1605,2929,1
1063,3971,0
814,1053,0
985,8853,0
818,7445,0
1460,9729,1
1446,1795,0
316,6212,1
1005,9143,0
622,7360,1
983,3522,0
1982,6584,0
1675,8134,0
1042,5142,0
1675,7298,0
1544,7126,0
1169,3684,1
1508,526,1
1658,5802,0
902,6950,0
802,7858,0
1192,4494,0
364,1923,1
1882,5617,1
65,7911,0
1947,2016,1
923,2253,0
1348,7402,0
991,6135,0
299,8934,0
1441,1455,0
985,3608,0
387,5700,1
44,272,1
1304,1146,1
501,1883,0
385,7729,0
147,2869,0
65,564,1
1882,5883,1
144,4633,0
542,4749,0
1689,79,0
1366,2590,1
363,8188,1
23,1910,0
959,1255,0
773,1346,0
535,1397,1
235,7048,0
658,4498,0
175,3637,0
1638,7716,0
39,5536,0
1383,3152,1
658,8124,0
112,8128,0
721,6565,0
225,6398,0
283,9661,0
1942,9800,0
1005,4609,0
1433,943,1
814,1468,0
1778,1923,1
1873,2590,0
425,7804,1
174,3728,1
1820,4684,0
626,6735,1
1675,7670,0
1227,5385,1
425,8831,1
316,8603,0
1565,5659,0
969,6677,0
459,6896,1
1755,9497,0
1388,7458,0
284,7100,1
1962,9020,1
95,5281,0
185,1836,0
316,6601,0
902,6115,1
1518,927,0
1873,1086,0
1838,7734,0
1904,5903,0
655,6845,0
734,7745,0
698,5,0
1947,7220,1
802,1194,0
1101,9390,0
607,7002,1
425,7231,0
895,2203,1
766,9018,0
1679,2669,0
840,79,1
1930,7563,0
542,4004,1
410,6456,0
131,3295,0
814,9181,0
299,3448,0
1558,6735,1
94,6499,0
715,278,0
856,3173,1
1152,2416,0
1620,3637,1
1673,3089,0
965,3397,0
183,3397,0
1867,4712,0
756,9156,0
1525,9513,0
1890,5775,1
1947,8811,0
225,465,0
1777,407,0
564,6391,1
991,6689,0
1308,6904,0
1388,1041,0
1776,3637,1
1383,7238,1
1561,9636,0
1737,3238,0
607,2743,1
1966,2858,1
1937,2743,1
284,8838,0
1753,7734,0
1550,642,1
1608,3328,1
1416,6575,1
486,9493,1
270,8943,1
1446,6512,0
1940,2655,0
1425,1268,0
1855,7792,1
39,5213,0
1743,4305,1
1494,7674,0
1882,6446,1
1048,1622,0
1635,4019,1
583,66,0
1780,8298,0
230,5600,0
1871,5245,1
1908,349,0
1982,3762,0
27,142,1
794,5616,1
341,1836,0
1780,1713,0
888,4079,0
355,278,0
1348,811,1
1358,8993,1
1868,5067,1
1940,7241,1
1781,9815,0
130,5059,1
102,8845,1
225,4097,0
1303,3562,1
802,6550,0
27,2331,1
1005,215,1
743,8838,0
1199,3397,1
1925,1086,1
130,6485,0
1399,9284,1
1635,4283,1
1192,2590,1
1624,3801,0
106,9815,1
1589,8124,1
1681,5496,0
1230,6177,1
1194,5903,0
899,7569,0
1059,5338,0
425,9203,1
1272,4976,0
1120,2620,0
582,3971,1
185,7734,0
226,9737,0
1827,8057,1
328,6336,0
1793,683,0
888,2134,0
131,1346,0
39,5460,1
316,8821,1
1485,5281,0
318,640,1
823,3971,0
316,5790,0
1851,9502,1
805,728,0
802,253,0
1820,6035,0
1005,8817,0
922,3213,1
751,3759,1
1338,4334,1
935,2434,0
1953,4450,1
833,5338,0
1635,1511,1
387,4997,1
1457,9480,1
1005,2436,1
1862,5393,0
823,5261,1
439,5939,0
1982,7775,0
793,8174,0
884,632,0
1204,1883,0
1822,9347,0
519,4146,0
1981,9143,1
459,5441,0
225,8873,0
1339,594,1
1206,6904,1
508,2993,0
459,4791,0
1042,2357,0
486,4920,0
985,4247,1
1653,9570,1
1663,9382,0
1039,9502,1
1820,58,0
535,9671,0
132,6584,1
1321,2516,1
328,2589,0
1778,5656,0
1424,1817,1
1608,8589,1
508,5556,0
542,3522,0
830,1086,0
12,8996,1
1636,278,1
316,8870,0
382,6896,0
528,2834,0
1793,4162,0
1394,5600,0
411,4933,1
802,9409,0
1862,7086,0
824,3261,1
1970,8821,1
633,2607,1
802,1027,0
1862,7569,0
299,8833,0
1270,278,0
316,4483,1
175,1107,0
1321,4407,1
390,9590,0
459,3407,0
1747,903,0
175,9818,0
776,1137,1
536,4041,1
280,9064,1
838,9073,0
15,9570,1
226,268,0
189,2590,1
607,2842,0
465,5246,0
955,5700,1
1295,1884,1
501,8198,1
653,1673,1
39,2822,1
39,7721,0
280,1086,1
1979,379,0
1959,8087,0
459,6735,0
655,3116,0
802,5868,0
1005,5372,0
1408,6778,1
1837,3317,0
809,2129,0
1297,9551,0
1075,2203,0
441,1430,1
1251,1289,0
802,986,0
185,8330,0
245,2819,1
1591,2956,1
1845,3448,1
865,5616,0
95,9570,0
883,7063,0
1959,5341,0
1462,9367,1
1966,9473,1
1798,8828,0
1146,6082,1
1874,8856,1
988,6983,0
130,5442,0
883,5761,0
1747,7947,1
102,532,1
1982,137,1
1383,619,1
986,9367,1
225,6061,0
1979,1289,0
1550,7728,1
1925,8789,1
1940,4607,0
1388,6089,0
876,9595,1
1560,6563,1
1075,8546,0
1282,6781,1
958,8359,1
1658,6738,0
1920,6042,0
1745,2165,1
40,930,0
173,4678,1
459,175,0
1071,4695,1
675,898,1
279,5385,1
1868,4772,1
1020,2145,1
1408,1183,1
3,916,0
1700,6704,0
1005,6904,1
225,59,0
1048,3971,0
1178,9401,0
1909,9180,0
1780,8229,0
613,1546,1
988,4010,1
899,1588,0
991,5460,0
175,582,0
270,9380,0
318,6493,0
838,7173,0
1550,6735,0
175,5137,0
315,7677,1
1822,7901,0
1966,3397,1
508,2209,0
1042,8358,0
1001,1788,0
884,4596,0
883,8919,1
284,2145,0
743,4521,1
1635,2739,1
1403,5281,0
1198,8838,0
607,5805,0
387,7698,1
226,7862,0
856,1399,1
1393,2015,0
1321,5070,1
425,5883,0
283,6584,0
983,4450,1
489,2590,1
1518,9253,1
1778,2239,0
630,9169,1
1123,8717,0
618,4678,1
241,142,0
1730,7445,0
525,9839,0
1778,7439,0
553,5604,1
1777,6699,1
661,3702,0
1745,5246,1
969,4858,0
1743,5999,1
972,5434,0
1485,6950,0
1908,4932,0
489,5903,1
1941,4498,0
1901,9570,0
1934,6362,0
1925,6586,1
71,6743,1
769,6192,0
1672,6774,1
883,8079,1
676,1455,1
876,1319,1
1635,7195,0
459,8296,1
508,3974,0
667,7452,0
769,1756,0
528,4260,0
655,101,0
380,8499,0
542,7238,0
769,643,0
1871,6238,1
1509,8459,0
410,4521,1
863,8025,0
1230,7456,1
329,8025,0
1635,5158,0
316,6732,0
1822,6524,0
1444,1693,0
528,9317,0
701,7002,1
988,6694,0
102,101,1
853,5292,0
1606,1791,1
350,7258,1
985,2555,0
1230,5251,1
1742,27,1
583,8087,0
146,4997,1
658,943,0
346,1268,1
1940,7801,1
1057,5142,0
1793,7709,0
1908,2539,0
1062,8636,1
267,6161,1
1216,104,1
23,5712,1
876,3631,1
1424,5917,1
1311,5820,0
363,1255,1
605,2951,1
505,4593,0
1297,3663,0
1485,347,0
130,4266,0
1188,2565,1
591,9033,1
474,1396,1
1108,3116,0
1518,1479,0
969,1877,0
1305,4450,1
1908,9253,1
1679,2569,1
1383,2382,1
1703,6456,0
1550,9637,0
1114,3971,1
1383,955,0
607,2416,1
1867,6310,0
329,8387,0
316,930,0
933,8359,1
1217,526,1
1743,8375,1
94,7550,0
1835,1289,0
856,943,1
985,945,0
474,490,1
14,1718,1
888,616,0
186,2951,1
328,2175,0
1777,3708,1
1524,9832,1
1044,8057,0
939,8186,1
1075,8432,0
823,7057,0
560,6110,0
1120,3004,0
1408,8789,1
1911,8013,0
1039,2467,1
1043,9308,1
95,4146,0
1522,1002,0
794,138,0
1388,2203,0
823,2590,0
1322,6845,0
1388,8848,0
1154,2520,0
1201,8856,1
1494,6690,1
1311,8636,1
1867,8079,0
1227,8856,0
130,1444,0
1399,5703,1
1851,7445,1
1925,6446,1
530,2317,1
1322,8794,0
1103,3803,1
658,2109,1
769,7291,0
390,2746,0
1672,9661,1
175,153,0
267,8789,1
39,1378,1
888,8110,0
1008,5700,1
1125,8503,1
583,5188,1
52,1430,1
1359,8387,0
1311,4494,1
1862,7192,0
1545,3371,1
1653,5698,1
1388,6298,0
1672,320,0
1585,918,1
1653,4041,0
1893,5619,1
316,7070,0
1272,9053,0
501,4453,0
1272,3019,0
690,8224,0
1799,554,1
385,2021,0
343,1586,1
657,2489,1
580,3398,0
226,2888,1
1679,8934,1
459,6267,1
446,2739,0
1980,4041,1
1946,8360,0
621,7956,1
658,66,1
1071,7230,1
749,1479,1
1211,9592,1
1663,846,1
40,9493,0
876,6446,1
241,104,0
1822,3173,0
249,7765,0
1926,8606,0
1561,6425,1
845,3402,1
155,4283,0
1374,9560,1
965,2772,0
498,5668,0
1682,8856,1
1871,9869,1
105,5245,0
316,3449,0
1096,242,0
130,3376,1
1778,9219,1
1681,3637,0
774,1041,0
488,6586,1
1561,4213,0
1383,5562,0
1383,248,0
1390,1018,1
1606,7042,0
1903,2512,0
299,6993,1
1908,711,0
647,222,1
316,7018,0
760,9401,1
1152,6806,1
1755,8154,0
183,5250,0
1780,6898,0
823,8124,1
316,5496,0
1233,2436,1
1769,4997,1
153,526,0
1467,3448,0
94,2127,0
1662,1268,1
799,9020,0
616,1053,1
1093,5700,1
1801,955,1
1525,3666,0
1211,8921,1
1675,6325,1
141,4828,0
226,8330,0
1703,1417,1
1272,6737,0
1567,8821,1
607,8022,0
1940,7895,0
1550,8838,0
823,2407,0
425,4471,0
131,8142,0
1780,8555,0
1413,4901,0
10,278,0
388,4712,1
147,6530,0
1780,7896,0
888,3799,0
1640,2127,1
1745,5452,1
1743,4188,1
1499,317,1
256,927,1
1272,9045,0
391,8293,0
1029,2956,1
1075,3833,0
698,91,0
1822,2129,0
888,1671,0
316,9777,0
1721,6774,1
1755,4230,0
1635,1693,1
235,2177,1
1383,7909,0
222,2739,1
1916,1479,0
385,8350,0
1239,7197,1
226,7563,0
226,9860,0
175,6404,0
895,1556,1
102,6686,1
1908,2416,1
1509,3825,1
823,3585,0
676,3786,0
1867,1137,0
658,6880,0
1260,5260,0
840,9053,1
1824,242,0
8,3971,1
316,7868,0
425,2522,1
543,6203,0
888,3663,0
1383,4545,0
315,5385,1
1550,8409,0
1940,6563,1
535,3448,1
1383,1255,0
1278,1877,0
1965,6496,0
1857,3971,0
586,3116,1
985,8555,0
991,8165,0
1071,860,1
1682,5339,0
914,2539,0
1882,7698,1
1518,4797,1
1444,2937,0
418,9595,1
235,7238,0
569,142,0
802,328,0
823,3794,0
788,9422,0
911,5304,0
328,6224,1
1550,1757,1
1911,927,1
175,6658,0
501,7734,0
1400,6985,0
446,2129,0
411,2124,0
1780,3632,1
623,4918,0
1046,8025,0
1388,5841,0
113,526,0
1832,1086,0
1550,4365,1
823,8021,0
1550,9814,0
1620,1894,1
1321,4286,0
391,2665,1
18,4636,0
261,7879,1
1544,3728,0
658,9458,0
225,5699,0
830,7445,0
1106,3218,0
1635,4609,1
1866,4920,0
391,6995,0
1916,6694,0
658,550,0
888,4531,0
316,753,0
1305,4334,0
