user_id,work_id,rating
717,8025,dislike
1106,1027,neutral
1970,3949,neutral
1685,9815,like
1703,3482,like
932,6877,like
1795,6310,dislike
388,5572,like
962,9570,like
1411,215,like
541,4004,like
1789,7212,like
1465,1766,dislike
1561,9182,like
1038,5698,dislike
1106,9424,neutral
510,3637,like
826,4145,like
1941,7005,like
1629,6234,like
1802,9347,neutral
1887,3016,like
185,104,love
719,6391,dislike
1034,6877,like
1901,1788,dislike
958,443,like
529,6877,like
1499,2110,like
973,5303,like
1045,2996,like
1547,9815,love
897,2699,like
3,9053,like
23,242,like
1125,5295,love
1465,9661,like
300,3702,neutral
1272,6927,like
1812,8029,neutral
1563,9182,like
185,5795,love
1929,5738,like
1394,8356,like
1547,7098,love
1674,4041,neutral
1406,6465,like
1041,6110,neutral
338,2174,love
819,4019,like
221,4988,like
208,7376,dislike
198,127,like
1531,2086,like
713,8962,like
1020,6188,like
26,9661,neutral
94,5554,dislike
1789,8079,like
1204,8505,like
911,1583,like
1781,9636,like
1897,5596,dislike
1781,6846,like
105,7956,dislike
564,4450,like
1812,5604,like
167,8247,like
1763,1041,neutral
468,7435,like
630,9064,like
1550,7169,dislike
117,9367,neutral
761,640,like
1541,8873,like
311,9367,dislike
147,3801,love
1900,8174,like
268,9367,like
757,8710,like
1804,5341,like
1221,4238,like
1936,7529,like
1965,3364,like
100,5292,like
1620,6456,like
1152,5502,dislike
1039,3594,love
297,8682,like
1486,8359,love
1901,9210,dislike
1043,6716,like
655,2937,neutral
1925,1146,like
1950,810,like
1608,2743,like
607,5069,like
218,250,like
1097,4146,dislike
11,7677,like
584,7675,like
1862,8897,neutral
1181,3243,like
1649,2284,neutral
571,2739,like
1891,8503,like
559,5434,like
1248,3733,like
726,3243,like
1938,5151,like
1522,2305,like
1522,2945,like
1463,2621,like
1120,5775,like
1305,4487,like
1468,6310,like
1241,6225,like
968,7266,like
71,103,dislike
1251,862,dislike
952,3657,like
1561,2990,like
448,5250,love
1835,2900,like
1196,7879,like
1331,1264,neutral
1255,2937,like
968,9493,like
340,3449,neutral
1224,9374,like
156,3733,neutral
382,8993,like
1196,5434,like
297,750,neutral
1939,4089,neutral
473,7250,neutral
240,6314,dislike
328,8163,like
626,7230,like
1891,627,like
114,6530,like
1297,7182,like
1041,5393,like
1782,8340,dislike
983,1268,like
343,5827,neutral
627,6362,like
1861,8557,love
195,8756,like
221,2743,neutral
1706,5839,love
1269,183,like
146,9517,love
240,1455,like
805,7238,like
1617,1499,like
1565,7042,neutral
1897,2253,like
46,3138,like
569,7879,like
869,3496,like
413,4558,like
518,2315,like
1589,1455,like
218,931,neutral
206,2607,neutral
1664,2569,like
1939,2520,like
167,5903,like
1306,7197,neutral
451,2389,neutral
688,1640,like
1776,1704,neutral
270,1011,like
429,3594,neutral
1169,8986,neutral
508,5069,like
608,9800,like
1624,7709,like
239,7673,like
1940,5369,like
445,175,dislike
97,5434,neutral
1862,6339,neutral
1836,5838,like
1768,3197,like
435,6110,like
1798,4146,like
1469,3965,like
305,5105,like
1387,9583,like
1029,4032,love
1221,1836,like
297,3282,like
65,6115,like
305,8831,like
1289,4815,neutral
23,1040,neutral
1554,8639,neutral
274,7192,like
430,991,like
15,6465,like
1554,6689,like
1781,82,neutral
1959,1340,neutral
170,6666,like
1275,5659,dislike
885,9614,like
877,7628,like
1435,7533,like
58,6530,like
991,3804,like
77,1863,like
1979,4505,like
1040,5434,like
1463,9723,neutral
981,8821,neutral
1032,6465,like
1221,8994,like
909,6927,neutral
412,8359,like
1359,5093,like
1165,5700,like
1779,3791,like
1759,6916,neutral
962,1240,neutral
1802,2556,neutral
1980,4596,dislike
18,5903,like
1094,278,love
317,2636,like
1268,619,like
1759,7173,neutral
114,8996,love
852,3412,like
1056,2305,like
874,2590,like
18,3154,like
1169,5374,neutral
406,9490,like
1221,4869,dislike
218,1888,like
33,81,like
740,6456,love
240,6224,dislike
679,3261,like
1311,3295,like
1391,8057,like
597,4643,dislike
1131,9401,like
264,6465,like
